BASE_YEAR,BASE_QUARTER,BASE_MT,BASE_DAY,MT_WEEK_ODR,WEEK_ODR,CTPRVN_NM,KOREA_MOVIE_ADNC_CO,OVSEA_MOVIE_ADNC_CO,MOVIE_ADNC_CO,KOREA_MOVIE_SALES_PRICE,OVSEA_MOVIE_SALES_PRICE,MOVIE_SALES_PRICE,DAY_AVRG_KOREA_MOVIE_SCRNG_CO,DAY_AVRG_OVSEA_MOVIE_SCRNG_CO,DAY_AVRG_MOVIE_SCRNG_CO
2019,1,01,06,1,1,강원도,28043,64782,92825,227830300,516961400,744791700,5.29,13.71,19
2019,1,01,13,2,2,강원도,57925,32632,90557,460859470,250670310,711529780,6.86,13.57,20
2019,1,01,20,3,3,강원도,55885,24927,80812,441536430,194795230,636331660,6.71,14.14,21
2019,1,01,27,4,4,강원도,107270,10365,117635,880833990,76777680,957611670,6.57,15.29,22
2019,1,02,03,5,5,강원도,157628,19831,177459,1231994660,149009150,1381003810,8.29,12.14,20
2019,1,02,10,1,6,강원도,183453,47815,231268,1544524430,404249850,1948774280,7.43,10.57,18
2019,1,02,17,2,7,강원도,75988,28172,104160,596183160,227530510,823713670,6.14,12.86,19
2019,1,02,24,3,8,강원도,77688,16881,94569,614758980,127208630,741967610,6.29,17.14,23
2019,1,03,03,4,9,강원도,87029,11192,98221,662286740,80826860,743113600,7.14,19.43,27
2019,1,03,10,1,10,강원도,22058,74558,96616,177158220,618318770,795476990,6.86,12.57,19
2019,1,03,17,2,11,강원도,9603,50931,60534,75648780,415768590,491417370,7.71,12,20
2019,1,03,24,3,12,강원도,46030,21524,67554,378979560,174913020,553892580,8.29,11.57,20
2019,1,03,31,4,13,강원도,33265,40976,74241,253949500,322483250,576432750,7.71,13.71,21
2019,2,04,07,1,14,강원도,23228,30840,54068,183463400,251208200,434671600,8.29,13.57,22
2019,2,04,14,2,15,강원도,19667,20303,39970,155727350,163050870,318778220,6.29,17,23
2019,2,04,21,3,16,강원도,17956,11254,29210,139256770,91013240,230270010,9.43,19.43,29
2019,2,04,28,4,17,강원도,14500,169716,184216,103156540,1378641750,1481798290,10.71,13.71,24
2019,2,05,05,1,18,강원도,29347,118397,147744,224091790,955201720,1179293510,8.29,9.14,17
2019,2,05,12,2,19,강원도,38722,59266,97988,310183310,470932650,781115960,6.14,9.57,16
2019,2,05,19,3,20,강원도,60138,22268,82406,492034100,176704150,668738250,7.14,10.86,18
2019,2,05,26,4,21,강원도,48719,29095,77814,394230870,236498870,630729740,9.57,13,23
2019,2,06,02,5,22,강원도,102173,36947,139120,822202320,281702480,1103904800,11.14,11.43,23
2019,2,06,09,1,23,강원도,95090,61168,156258,768910590,490512450,1259423040,8.43,10.71,19
2019,2,06,16,2,24,강원도,36869,54840,91709,292178150,443789240,735967390,5.29,14.71,20
